1	0
2	1
3	1
4	0
4	1
5	2
6	0
6	1
6	4
7	3
8	2
8	5
9	5
10	1
11	5
11	9
12	3
13	1
14	4
15	10
16	0
16	1
16	4
17	5
18	7
19	11
20	16
21	15
22	1
22	4
23	0
23	1
23	16
23	20
24	19
25	1
25	3
25	7
26	1
27	0
28	14
29	1
29	26
30	9
31	16
31	20
31	23
32	15
32	21
33	16
33	20
34	6
35	28
36	10
36	15
36	21
37	1
37	3
38	31
39	1
39	4
40	15
40	21
41	0
41	4
41	16
42	16
42	20
42	23
42	31
43	1
43	10
43	15
44	0
44	1
44	4
44	6
44	13
44	34
44	39
45	28
45	35
46	33
47	5
48	47
49	34
49	44
50	12
51	15
52	2
53	23
54	36
55	36
56	10
56	15
56	36
57	54
58	28
59	19
59	24
60	54
60	57
61	12
62	24
63	32
64	47
64	48
65	6
65	34
66	20
66	31
66	42
67	5
67	11
67	17
68	53
69	43
70	7
71	43
72	43
72	69
73	1
73	26
74	15
74	21
74	36
74	54
74	57
74	60
75	73
76	17
77	37
78	62
79	38
80	0
80	1
80	2
80	4
80	5
80	8
80	16
80	41
81	48
81	64
82	1
82	4
82	13
82	16
82	20
82	33
82	44
82	46
82	80
83	15
83	36
83	51
83	56
84	7
84	70
85	84
86	36
87	6
88	40
89	0
89	1
90	10
90	15
90	36
90	43
90	51
90	55
90	56
90	83
91	0
91	16
92	55
92	90
93	27
94	1
94	10
94	15
94	21
94	36
94	43
94	56
95	5
95	67
96	58
97	4
97	16
98	0
99	87
100	2
100	80
100	82
101	20
101	33
101	42
101	66
101	82
102	8
103	7
103	84
104	58
105	1
105	26
106	62
107	51
108	0
108	1
108	4
108	14
108	22
108	25
109	100
110	109
111	99
112	104
113	1
114	43
114	71
115	4
115	16
115	20
115	31
115	33
115	46
115	101
116	103
117	31
117	42
118	13
119	101
119	115
120	64
121	4
121	14
121	44
121	49
121	82
121	108
122	54
122	57
122	60
122	74
123	22
124	103
124	116
125	54
125	57
125	74
125	122
126	75
127	43
127	114
128	54
128	57
128	122
128	125
129	104
130	80
131	51
131	83
131	90
132	32
133	1
133	3
133	37
133	43
134	31
134	38
134	79
135	12
135	50
135	61
136	1
136	4
136	5
136	41
136	80
137	89
138	4
138	14
138	28
138	35
138	45
138	58
138	104
138	129
139	28
139	35
140	1
140	10
141	83
142	32
143	56
143	90
144	4
145	6
145	34
146	125
147	1
148	12
148	135
149	77
150	6
150	34
151	10
152	99
153	133
154	73
154	75
154	126
155	48
155	64
155	81
156	71
157	14
157	28
158	58
158	96
159	24
159	62
160	133
160	153
161	143
162	55
162	90
163	16
163	20
163	97
164	9
165	54
165	57
166	70
166	84
167	60
168	16
169	2
169	52
170	34
170	145
171	77
172	9
173	33
173	101
173	115
173	119
174	60
174	167
175	51
175	83
175	107
176	16
176	20
176	33
176	46
176	82
176	115
177	34
178	70
179	177
180	1
180	10
180	15
180	21
180	36
180	94
180	147
180	151
181	96
182	69
183	38
183	134
184	71
184	156
185	58
186	34
186	44
187	61
187	135
188	104
188	138
189	87
189	99
190	139
191	96
191	181
192	14
192	28
192	45
192	121
192	138
192	157
193	102
194	145
195	90
195	92
196	178
197	6
198	132
199	198
200	191
201	179
202	3
203	176
204	94
205	51
205	107
205	175
206	54
207	38
208	29
209	16
209	20
209	33
210	145
210	194
211	179
211	201
212	170
